medalist_name,Event,Medalist
Bair Badënov,Male Archery,bronze
Ilario Di Buò,Male Archery,silver
Im Dong-hyun,Male Archery,gold
Jiang Lin,Male Archery,bronze
Lee Chang-hwan,Male Archery,gold
Li Wenquan,Male Archery,bronze
Marco Galiazzo,Male Archery,silver
Mauro Nespoli,Male Archery,silver
Park Kyung-mo,Male Archery,silver
Viktor Ruban,Male Archery,gold
Xue Haifeng,Male Archery,bronze
Bérengère Schuh,Female Archery,bronze
Chen Ling,Female Archery,silver
Guo Dan,Female Archery,silver
Joo Hyun-Jung,Female Archery,gold
Park Sung-hyun,Female Archery,silver
Sophie Dodemont,Female Archery,bronze
Virginie Arnold,Female Archery,bronze
Yun Ok-hee,Female Archery,bronze
Zhang Juanjuan,Female Archery,gold
Aaron Armstrong,Male Athletics,gold
Ainārs Kovals,Male Athletics,silver
Alex Schwazer,Male Athletics,gold
Alfred Kirwa Yego,Male Athletics,bronze
Andrae Williams,Male Athletics,silver
Andreas Thorkildsen,Male Athletics,gold
Andrei Krauchanka,Male Athletics,silver
Andretti Bain,Male Athletics,silver
Andrew Steele,Male Athletics,bronze
Andrey Silnov,Male Athletics,gold
Angelo Taylor,Male Athletics,gold
Asbel Kiprop,Male Athletics,gold
Avard Moncur,Male Athletics,silver
Bershawn Jackson,Male Athletics,bronze
Brimin Kipruto,Male Athletics,gold
Bruno de Barros,Male Athletics,bronze
Bryan Clay,Male Athletics,gold
Chris Brown,Male Athletics,silver
Christian Cantwell,Male Athletics,silver
David Neville,Male Athletics,bronze
David Oliver,Male Athletics,bronze
David Payne,Male Athletics,silver
Dayron Robles,Male Athletics,gold
Denis Nizhegorodov,Male Athletics,bronze
Derek Miles,Male Athletics,bronze
Dylan Armstrong,Male Athletics,bronze
Edwin Soi,Male Athletics,bronze
Eliud Kipchoge,Male Athletics,silver
Emmanuel Callender,Male Athletics,gold
Gerd Kanter,Male Athletics,gold
Germaine Mason,Male Athletics,silver
Godfrey Khotso Mokoena,Male Athletics,silver
Ibrahim Camejo,Male Athletics,bronze
Irving Saladino,Male Athletics,gold
Ismail Ahmed Ismail,Male Athletics,silver
Ivan Tsikhan,Male Athletics,bronze
Jaouad Gharib,Male Athletics,silver
Jared Tallent,Male Athletics,bronze
Jefferson Pérez,Male Athletics,silver
Jeremy Wariner,Male Athletics,silver
José Carlos Moreira,Male Athletics,bronze
Kenenisa Bekele,Male Athletics,gold
Kerron Clement,Male Athletics,silver
Keston Bledman,Male Athletics,gold
LaShawn Merritt,Male Athletics,gold
Leevan Sands,Male Athletics,bronze
Leonel Suárez,Male Athletics,bronze
Mahiedine Mekhissi-Benabbad,Male Athletics,silver
Marc Burns,Male Athletics,gold
Martyn Rooney,Male Athletics,bronze
Mehdi Baala,Male Athletics,bronze
Micah Kogo,Male Athletics,bronze
Michael Bingham,Male Athletics,bronze
Michael Mathieu,Male Athletics,silver
Naoki Tsukahara,Male Athletics,silver
Nelson Évora,Male Athletics,gold
Nick Willis,Male Athletics,silver
Nobuharu Asahara,Male Athletics,silver
Phillips Idowu,Male Athletics,silver
Piotr Małachowski,Male Athletics,silver
Primož Kozmus,Male Athletics,gold
Ramon Miller,Male Athletics,silver
Reggie Witherspoon,Male Athletics,gold
Richard Mateelong,Male Athletics,bronze
Richard Thompson,Male Athletics,silver
Robert Tobin,Male Athletics,bronze
Samuel Wanjiru,Male Athletics,gold
Sandro Viana,Male Athletics,bronze
Shawn Crawford,Male Athletics,silver
Shingo Suetsugu,Male Athletics,silver
Shinji Takahira,Male Athletics,silver
Sileshi Sihine,Male Athletics,silver
Steve Hooker,Male Athletics,gold
Tero Pitkämäki,Male Athletics,bronze
Tomasz Majewski,Male Athletics,gold
Tsegaye Kebede,Male Athletics,bronze
Usain Bolt,Male Athletics,gold
Vadim Devyatovskiy,Male Athletics,silver
Valeriy Borchin,Male Athletics,gold
Vicente de Lima,Male Athletics,bronze
Virgilijus Alekna,Male Athletics,bronze
Walter Dix,Male Athletics,bronze
Wilfred Bungei,Male Athletics,gold
Yaroslav Rybakov,Male Athletics,bronze
Yevgeny Lukyanenko,Male Athletics,silver
Agnes Osazuwa,Female Athletics,silver
Allyson Felix,Female Athletics,silver
Anna Chicherova,Female Athletics,bronze
Barbora Špotáková,Female Athletics,gold
Blanka Vlašić,Female Athletics,silver
Blessing Okagbare,Female Athletics,silver
Bobby-Gaye Wilkins,Female Athletics,silver
Catherine Ndereba,Female Athletics,silver
Chelsea Hammond,Female Athletics,bronze
Christina Obergföll,Female Athletics,bronze
Christine Ohuruogu,Female Athletics,gold
Constantina Diță,Female Athletics,gold
Dawn Harper-Nelson,Female Athletics,gold
Elisa Rigaudo,Female Athletics,bronze
Ene Franca Idoko,Female Athletics,silver
Eunice Jepkorir,Female Athletics,silver
Françoise Mbango Etone,Female Athletics,gold
Gloria Kemasuode,Female Athletics,silver
Gong Lijiao,Female Athletics,bronze
Gölnara Galkina-Sämitevä,Female Athletics,gold
Halimat Ismaila,Female Athletics,silver
Hanna Mariën,Female Athletics,gold
Hasna Benhassi,Female Athletics,bronze
Hyleas Fountain,Female Athletics,silver
Iryna Lishchynska,Female Athletics,silver
Janeth Jepkosgei,Female Athletics,silver
Jennifer Suhr,Female Athletics,silver
Kelly Sotherton,Female Athletics,bronze
Kerron Stewart,Female Athletics,bronze
Kim Gevaert,Female Athletics,gold
Kjersti Plätzer,Female Athletics,silver
Linet Masai,Female Athletics,bronze
Lucimar de Moura,Female Athletics,bronze
Manuela Montebrun,Female Athletics,bronze
Marilyn Okoro,Female Athletics,bronze
Mariya Abakumova,Female Athletics,silver
Mary Wineberg,Female Athletics,gold
Maurren Maggi,Female Athletics,gold
Melaine Walker,Female Athletics,gold
Meseret Defar,Female Athletics,silver
Monique Henderson,Female Athletics,gold
Nancy Langat,Female Athletics,gold
Nataliya Dobrynska,Female Athletics,gold
Nataliya Tobias,Female Athletics,bronze
Natasha Hastings,Female Athletics,gold
Nicola Sanders,Female Athletics,bronze
Novlene Williams-Mills,Female Athletics,silver
Olena Antonova,Female Athletics,silver
Olga Kaniskina,Female Athletics,gold
Olivia Borlée,Female Athletics,gold
Oludamola Osayomi,Female Athletics,silver
Pamela Jelimo,Female Athletics,gold
Priscilla Lopes-Schliep,Female Athletics,bronze
Rosemar Coelho Neto,Female Athletics,bronze
Rosemarie Whyte,Female Athletics,silver
Rosângela Santos,Female Athletics,bronze
Sally Pearson,Female Athletics,silver
Sanya Richards-Ross,Female Athletics,bronze
Shalane Flanagan,Female Athletics,silver
Sheena Tosta,Female Athletics,silver
Shelly-Ann Fraser-Pryce,Female Athletics,gold
Shereefa Lloyd,Female Athletics,silver
Shericka Williams,Female Athletics,silver
Sherone Simpson,Female Athletics,silver
Song Aimin,Female Athletics,bronze
Stephanie Brown Trafton,Female Athletics,gold
Svetlana Feofanova,Female Athletics,bronze
Sylvia Jebiwott Kibet,Female Athletics,bronze
Tasha Danvers,Female Athletics,bronze
Tatyana Chernova,Female Athletics,bronze
Thaissa Presti,Female Athletics,bronze
Tia Hellebaut,Female Athletics,gold
Tirunesh Dibaba,Female Athletics,gold
Valerie Adams,Female Athletics,gold
Veronica Campbell-Brown,Female Athletics,gold
Yekaterina Volkova,Female Athletics,bronze
Yelena Isinbayeva,Female Athletics,gold
Yipsi Moreno,Female Athletics,gold
Zhang Wenxiu,Female Athletics,silver
Zhou Chunxiu,Female Athletics,bronze
Élodie Ouédraogo,Female Athletics,gold
Cai Yun,Male Badminton,silver
Chen Jin,Male Badminton,bronze
Fu Haifeng,Male Badminton,silver
He Hanbin,Male Badminton,bronze
Hendra Setiawan,Male Badminton,gold
Hwang Ji-man,Male Badminton,bronze
Lee Chong Wei,Male Badminton,silver
Lee Jae-jin,Male Badminton,bronze
Lee Yong-dae,Male Badminton,gold
Lin Dan,Male Badminton,gold
Markis Kido,Male Badminton,gold
Nova Widianto,Male Badminton,silver
Du Jing,Female Badminton,gold
Lee Hyo-jung,Female Badminton,silver
Lee Kyung-won,Female Badminton,silver
Liliyana Natsir,Female Badminton,silver
Maria Kristin Yulianti,Female Badminton,bronze
Wei Yili,Female Badminton,bronze
Xie Xingfang,Female Badminton,silver
Yu Yang,Female Badminton,gold
Zhang Ning,Female Badminton,gold
Zhang Yawen,Female Badminton,bronze
Adiel Palma,Male Baseball,silver
Alexander Malleta,Male Baseball,silver
Alexei Bell,Male Baseball,silver
Alfredo Despaigne,Male Baseball,silver
Ariel Pestano,Male Baseball,silver
Blaine Neal,Male Baseball,bronze
Bong Jung-keun,Male Baseball,gold
Brandon Knight,Male Baseball,bronze
Brett Anderson,Male Baseball,bronze
Brian Barden,Male Baseball,bronze
Brian Duensing,Male Baseball,bronze
Casey Weathers,Male Baseball,bronze
Chong Tae-hyon,Male Baseball,gold
Dexter Fowler,Male Baseball,bronze
Eduardo Paret,Male Baseball,silver
Elier Sánchez,Male Baseball,silver
Eriel Sánchez,Male Baseball,silver
Frederich Cepeda,Male Baseball,silver
Giorvis Duvergel,Male Baseball,silver
Han Ki-joo,Male Baseball,gold
Hyun-jin Ryu,Male Baseball,gold
Héctor Olivera,Male Baseball,silver
Jake Arrieta,Male Baseball,bronze
Jang Won-sam,Male Baseball,gold
Jason Donald,Male Baseball,bronze
Jayson Nix,Male Baseball,bronze
Jeff Stevens,Male Baseball,bronze
Jeong Keun-woo,Male Baseball,gold
Jeremy Cummings,Male Baseball,bronze
Jin Kab-yong,Male Baseball,gold
John Gall,Male Baseball,bronze
Jonder Martínez,Male Baseball,silver
Kang Min-ho,Male Baseball,gold
Kevin Jepsen,Male Baseball,bronze
Kim Dong-ju,Male Baseball,gold
Kim Hyun-soo,Male Baseball,gold
Kim Kwang-hyun,Male Baseball,gold
Kim Min-jae,Male Baseball,gold
Ko Young-min,Male Baseball,gold
Kwon Hyuk,Male Baseball,gold
Lee Dae-ho,Male Baseball,gold
Lee Jin-young,Male Baseball,gold
Lee Jong-wook,Male Baseball,gold
Lee Seung-yuop,Male Baseball,gold
Lee Taek-keun,Male Baseball,gold
Lee Yong-kyu,Male Baseball,gold
Lou Marson,Male Baseball,bronze
Luis Miguel Navas,Male Baseball,silver
Luis Miguel Rodríguez,Male Baseball,silver
Matt LaPorta,Male Baseball,bronze
Matthew Brown,Male Baseball,bronze
Michel Enríquez,Male Baseball,silver
Miguel Lahera,Male Baseball,silver
Mike Hessman,Male Baseball,bronze
Mike Koplove,Male Baseball,bronze
Nate Schierholtz,Male Baseball,bronze
Norberto González,Male Baseball,silver
Norge Luis Vera,Male Baseball,silver
Oh Seung-hwan,Male Baseball,gold
Park Jin-man,Male Baseball,gold
Pedro Luis Lazo,Male Baseball,silver
Rolando Meriño,Male Baseball,silver
Song Seung-jun,Male Baseball,gold
Stephen Strasburg,Male Baseball,bronze
Taylor Teagarden,Male Baseball,bronze
Terry Tiffee,Male Baseball,bronze
Trevor Cahill,Male Baseball,bronze
Vicyohandri Odelín,Male Baseball,silver
Yadier Pedroso,Male Baseball,silver
Yoandry Urgellés,Male Baseball,silver
Yoon Suk-min,Male Baseball,gold
Yulieski Gurriel,Male Baseball,silver
Andrés Nocioni,Male Basketball,bronze
Antonio Porta,Male Basketball,bronze
Berni Rodríguez,Male Basketball,silver
Carlos Boozer,Male Basketball,gold
Carlos Delfino,Male Basketball,bronze
Carlos Jiménez,Male Basketball,silver
Carmelo Anthony,Male Basketball,gold
Chris Bosh,Male Basketball,gold
Chris Paul,Male Basketball,gold
Dwight Howard,Male Basketball,gold
Dwyane Wade,Male Basketball,gold
Fabricio Oberto,Male Basketball,bronze
Federico Kammerichs,Male Basketball,bronze
Felipe Reyes,Male Basketball,silver
Jason Kidd,Male Basketball,gold
Jorge Garbajosa,Male Basketball,silver
José Calderón,Male Basketball,silver
Juan Carlos Navarro,Male Basketball,silver
Juan Pedro Gutiérrez,Male Basketball,bronze
Kobe Bryant,Male Basketball,gold
LeBron James,Male Basketball,gold
Leonardo Gutiérrez,Male Basketball,bronze
Luis Scola,Male Basketball,bronze
Manu Ginóbili,Male Basketball,bronze
Marc Gasol,Male Basketball,silver
Michael Redd,Male Basketball,gold
Pablo Prigioni,Male Basketball,bronze
Paolo Quinteros,Male Basketball,bronze
Pau Gasol,Male Basketball,silver
Raül López,Male Basketball,silver
Ricky Rubio,Male Basketball,silver
Román González,Male Basketball,bronze
Rudy Fernández,Male Basketball,silver
Tayshaun Prince,Male Basketball,gold
Álex Mumbrú,Male Basketball,silver
Becky Hammon,Female Basketball,bronze
Belinda Snell,Female Basketball,silver
Candace Parker,Female Basketball,gold
Cappie Pondexter,Female Basketball,gold
DeLisha Milton-Jones,Female Basketball,gold
Diana Taurasi,Female Basketball,gold
Emma Randall,Female Basketball,silver
Erin Phillips,Female Basketball,silver
Hollie Grima,Female Basketball,silver
Ilona Korstin,Female Basketball,bronze
Irina Osipova,Female Basketball,bronze
Irina Sokolovskaya,Female Basketball,bronze
Jenni Screen,Female Basketball,silver
Kara Lawson,Female Basketball,gold
Katie Smith,Female Basketball,gold
Kristi Harrower,Female Basketball,silver
Laura Summerton,Female Basketball,silver
Lauren Jackson,Female Basketball,silver
Lisa Leslie,Female Basketball,gold
Maria Stepanova,Female Basketball,bronze
Marina Karpunina,Female Basketball,bronze
Marina Kuzina,Female Basketball,bronze
Natalia Vodopyanova,Female Basketball,bronze
Oxana Rakhmatulina,Female Basketball,bronze
Penny Taylor,Female Basketball,silver
Rohanee Cox,Female Basketball,silver
Seimone Augustus,Female Basketball,gold
Sue Bird,Female Basketball,gold
Suzy Batkovic,Female Basketball,silver
Svetlana Abrosimova,Female Basketball,bronze
Sylvia Fowles,Female Basketball,gold
Tamika Catchings,Female Basketball,gold
Tatiana Shchegoleva,Female Basketball,bronze
Tina Thompson,Female Basketball,gold
Tully Bevilaqua,Female Basketball,silver
Yekaterina Lisina,Female Basketball,bronze
Aleksei Tishchenko,Male Boxing,gold
Alexis Vastine,Male Boxing,bronze
Andry Laffita,Male Boxing,silver
Bakhyt Sarsekbayev,Male Boxing,gold
Bruno Julie,Male Boxing,bronze
Carlos Banteux,Male Boxing,silver
Clemente Russo,Male Boxing,silver
Daouda Sow,Male Boxing,silver
Darren Sutherland,Male Boxing,bronze
David Price,Male Boxing,bronze
Deontay Wilder,Male Boxing,bronze
Emilio Correa,Male Boxing,silver
Enkhbatyn Badar-Uugan,Male Boxing,gold
Georgy Balakshin,Male Boxing,bronze
Hrachik Javakhyan,Male Boxing,bronze
James DeGale,Male Boxing,gold
Kanat Islam,Male Boxing,bronze
Kenny Egan,Male Boxing,silver
Khedafi Djelkhir,Male Boxing,silver
Kim Jung-joo,Male Boxing,bronze
Manuel Félix Díaz,Male Boxing,gold
Manus Boonjumnong,Male Boxing,silver
Matthew Luu,Male Boxing,bronze
Osmay Acosta,Male Boxing,bronze
Paddy Barnes,Male Boxing,bronze
Pürevdorjiin Serdamba,Male Boxing,silver
Rakhim Chakhkiyev,Male Boxing,gold
Roberto Cammarelle,Male Boxing,gold
Roniel Iglesias,Male Boxing,bronze
Shahin Imranov,Male Boxing,bronze
Somjit Jongjohor,Male Boxing,gold
Tony Jeffries,Male Boxing,bronze
Vasyl Lomachenko,Male Boxing,gold
Veaceslav Gojan,Male Boxing,bronze
Vijender Singh,Male Boxing,bronze
Vincenzo Picardi,Male Boxing,bronze
Yakup Kılıç,Male Boxing,bronze
Yampier Hernández,Male Boxing,bronze
Yankiel León,Male Boxing,silver
Yerkebulan Shynaliyev,Male Boxing,bronze
Yordenis Ugás,Male Boxing,bronze
Zhang Xiaoping,Male Boxing,gold
Zhang Zhilei,Male Boxing,silver
Zou Shiming,Male Boxing,gold
Adam van Koeverden,Male Canoeing And Kayaking,silver
Aleksandr Kostoglod,Male Canoeing And Kayaking,silver
Alexander Grimm,Male Canoeing And Kayaking,gold
Aliaksandr Bahdanovich,Male Canoeing And Kayaking,gold
Aliaksei Abalmasau,Male Canoeing And Kayaking,gold
Andrea Facchin,Male Canoeing And Kayaking,bronze
Andreas Ihle,Male Canoeing And Kayaking,gold
Andrei Bahdanovich,Male Canoeing And Kayaking,gold
Antonio Scaduto,Male Canoeing And Kayaking,bronze
Artur Litvinchuk,Male Canoeing And Kayaking,gold
Attila Vajda,Male Canoeing And Kayaking,gold
Benjamin Boukpeti,Male Canoeing And Kayaking,bronze
Björn Goldschmidt,Male Canoeing And Kayaking,bronze
Carlos Pérez Rial,Male Canoeing And Kayaking,gold
Christian Gille,Male Canoeing And Kayaking,bronze
David Cal,Male Canoeing And Kayaking,silver
David Florence,Male Canoeing And Kayaking,silver
Dmitry Larionov,Male Canoeing And Kayaking,bronze
Eirik Verås Larsen,Male Canoeing And Kayaking,silver
Erik Vlček,Male Canoeing And Kayaking,silver
Fabien Lefèvre,Male Canoeing And Kayaking,silver
György Kozmann,Male Canoeing And Kayaking,bronze
Jaroslav Volf,Male Canoeing And Kayaking,silver
Juraj Tarr,Male Canoeing And Kayaking,silver
Ken Wallace,Male Canoeing And Kayaking,gold
Kim Wraae Knudsen,Male Canoeing And Kayaking,silver
Lutz Altepost,Male Canoeing And Kayaking,bronze
Martin Hollstein,Male Canoeing And Kayaking,gold
Maxim Opalev,Male Canoeing And Kayaking,gold
Meng Guanliang,Male Canoeing And Kayaking,gold
Michal Martikán,Male Canoeing And Kayaking,gold
Michal Riszdorfer,Male Canoeing And Kayaking,silver
Mikhail Kuznetsov,Male Canoeing And Kayaking,bronze
Norman Bröckl,Male Canoeing And Kayaking,bronze
Ondřej Štěpánek,Male Canoeing And Kayaking,silver
Pavol Hochschorner,Male Canoeing And Kayaking,gold
Peter Hochschorner,Male Canoeing And Kayaking,gold
Raman Pietrushenka,Male Canoeing And Kayaking,bronze
René Holten Poulsen,Male Canoeing And Kayaking,silver
Richard Riszdorfer,Male Canoeing And Kayaking,silver
Robin Bell,Male Canoeing And Kayaking,bronze
Ronald Rauhe,Male Canoeing And Kayaking,silver
Saúl Craviotto,Male Canoeing And Kayaking,gold
Sergey Ulegin,Male Canoeing And Kayaking,silver
Tamás Kiss,Male Canoeing And Kayaking,bronze
Thomas Hall,Male Canoeing And Kayaking,bronze
Tim Brabants,Male Canoeing And Kayaking,bronze
Tim Wieskötter,Male Canoeing And Kayaking,silver
Tomasz Wylenzek,Male Canoeing And Kayaking,bronze
Torsten Eckbrett,Male Canoeing And Kayaking,bronze
Vadzim Makhneu,Male Canoeing And Kayaking,bronze
Yang Wenjun,Male Canoeing And Kayaking,gold
Yuriy Cheban,Male Canoeing And Kayaking,bronze
Aneta Konieczna,Female Canoeing And Kayaking,silver
Anne-Laure Viard,Female Canoeing And Kayaking,bronze
Beata Mikołajczyk,Female Canoeing And Kayaking,silver
Chantal Meek,Female Canoeing And Kayaking,bronze
Conny Waßmuth,Female Canoeing And Kayaking,gold
Danuta Kozák,Female Canoeing And Kayaking,silver
Elena Kaliská,Female Canoeing And Kayaking,gold
Fanny Fischer,Female Canoeing And Kayaking,gold
Gabriella Szabó,Female Canoeing And Kayaking,silver
Hannah Davis,Female Canoeing And Kayaking,bronze
Inna Osypenko-Radomska,Female Canoeing And Kayaking,gold
Jacqueline Lawrence,Female Canoeing And Kayaking,silver
Josefa Idem,Female Canoeing And Kayaking,silver
Katalin Kovács,Female Canoeing And Kayaking,gold
Katrin Wagner-Augustin,Female Canoeing And Kayaking,bronze
Lisa Oldenhof,Female Canoeing And Kayaking,bronze
Lyndsie Fogarty,Female Canoeing And Kayaking,bronze
Marie Delattre,Female Canoeing And Kayaking,bronze
Natasa Dusev-Janics,Female Canoeing And Kayaking,gold
Nicole Reinhardt,Female Canoeing And Kayaking,gold
Violetta Oblinger-Peters,Female Canoeing And Kayaking,bronze
Alexandr Kolobnev,Male Road Bicycle Racing,bronze
Fabian Cancellara,Male Road Bicycle Racing,silver
Gustav Larsson,Male Road Bicycle Racing,silver
Levi Leipheimer,Male Road Bicycle Racing,bronze
Samuel Sánchez,Male Road Bicycle Racing,gold
Emma Johansson,Female Road Bicycle Racing,silver
Emma Pooley,Female Road Bicycle Racing,silver
Karin Thürig,Female Road Bicycle Racing,bronze
Kristin Armstrong,Female Road Bicycle Racing,gold
Nicole Cooke,Female Road Bicycle Racing,gold
Tatiana Guderzo,Female Road Bicycle Racing,bronze
Alex Rasmussen,Male Track Cycling,silver
Alexei Markov,Male Track Cycling,bronze
Arnaud Tournant,Male Track Cycling,silver
Bradley Wiggins,Male Track Cycling,gold
Casper Jørgensen,Male Track Cycling,silver
Chris Hoy,Male Track Cycling,gold
Chris Newton,Male Track Cycling,bronze
Ed Clancy,Male Track Cycling,gold
Geraint Thomas,Male Track Cycling,gold
Grégory Baugé,Male Track Cycling,silver
Hayden Roulston,Male Track Cycling,silver
Jamie Staff,Male Track Cycling,gold
Jason Kenny,Male Track Cycling,silver
Jens-Erik Madsen,Male Track Cycling,silver
Jesse Sergent,Male Track Cycling,bronze
Joan Llaneras Roselló,Male Track Cycling,silver
Juan Curuchet,Male Track Cycling,gold
Kiyofumi Nagai,Male Track Cycling,bronze
Kévin Sireau,Male Track Cycling,silver
Marc Ryan,Male Track Cycling,bronze
Maximilian Levy,Male Track Cycling,bronze
Michael Færk Christensen,Male Track Cycling,silver
Michael Mørkøv,Male Track Cycling,silver
Mickaël Bourgain,Male Track Cycling,bronze
Mikhail Ignatiev,Male Track Cycling,bronze
Paul Manning,Male Track Cycling,gold
René Enders,Male Track Cycling,bronze
Roger Kluge,Male Track Cycling,silver
Ross Edgar,Male Track Cycling,silver
Sam Bewley,Male Track Cycling,bronze
Stefan Nimke,Male Track Cycling,bronze
Steven Burke,Male Track Cycling,bronze
Toni Tauler,Male Track Cycling,silver
Walter Pérez,Male Track Cycling,gold
Westley Gough,Male Track Cycling,bronze
Anna Meares,Female Track Cycling,silver
Guo Shuang,Female Track Cycling,bronze
Leire Olaberria,Female Track Cycling,bronze
Lesya Kalytovska,Female Track Cycling,bronze
Marianne Vos,Female Track Cycling,gold
Rebecca Romero,Female Track Cycling,gold
Victoria Pendleton,Female Track Cycling,gold
Wendy Houvenaghel,Female Track Cycling,silver
Yoanka González,Female Track Cycling,silver
Jean-Christophe Péraud,Male Mountain Biking,silver
Julien Absalon,Male Mountain Biking,gold
Nino Schurter,Male Mountain Biking,bronze
Irina Kalentieva,Female Mountain Biking,bronze
Maja Włoszczowska,Female Mountain Biking,silver
Sabine Spitz,Female Mountain Biking,gold
Donny Robinson,Male Bmx,bronze
Mike Day,Male Bmx,silver
Māris Štrombergs,Male Bmx,gold
Anne-Caroline Chausson,Female Bmx,gold
Jill Kintner,Female Bmx,bronze
Laëtitia Le Corguillé,Female Bmx,silver
Alexandre Despatie,Male Diving,silver
Dmitri Sautin,Male Diving,silver
Dmitriy Dobroskok,Male Diving,bronze
Gleb Galperin,Male Diving,bronze
He Chong,Male Diving,gold
Huo Liang,Male Diving,gold
Illya Kvasha,Male Diving,bronze
Lin Yue,Male Diving,gold
Matthew Mitcham,Male Diving,gold
Oleksiy Pryhorov,Male Diving,bronze
Patrick Hausding,Male Diving,silver
Qin Kai,Male Diving,bronze
Sascha Klein,Male Diving,silver
Wang Feng,Male Diving,gold
Yuriy Kunakov,Male Diving,silver
Zhou Lüxin,Male Diving,silver
Anastasia Pozdniakova,Female Diving,silver
Briony Cole,Female Diving,silver
Chen Ruolin,Female Diving,gold
Ditte Kotzian,Female Diving,bronze
Guo Jingjing,Female Diving,gold
Heike Fischer,Female Diving,bronze
Melissa Wu,Female Diving,silver
Paola Espinosa,Female Diving,bronze
Tatiana Ortiz,Female Diving,bronze
Wang Xin,Female Diving,bronze
Wu Minxia,Female Diving,bronze
Yuliya Pakhalina,Female Diving,silver
Émilie Heymans,Female Diving,silver
Anky van Grunsven,Female Equestrian Sport,gold
Anne van Olst,Female Equestrian Sport,bronze
Beezie Madden,Female Equestrian Sport,bronze
Christina Liebherr,Female Equestrian Sport,bronze
Daisy Dick,Female Equestrian Sport,bronze
Gina Miles,Female Equestrian Sport,silver
Heike Kemmer,Female Equestrian Sport,bronze
Imke Bartels,Female Equestrian Sport,silver
Ingrid Klimke,Female Equestrian Sport,gold
Isabell Werth,Female Equestrian Sport,silver
Jill Henselwood,Female Equestrian Sport,silver
Kristina Cook,Female Equestrian Sport,bronze
Laura Kraut,Female Equestrian Sport,gold
Lucinda Fredericks,Female Equestrian Sport,silver
Mary King,Female Equestrian Sport,bronze
Megan Jones,Female Equestrian Sport,silver
Nadine Capellmann,Female Equestrian Sport,gold
Princess Nathalie of Sayn-Wittgenstein-Berleburg,Female Equestrian Sport,bronze
Sharon Hunt,Female Equestrian Sport,bronze
Sonja Johnson,Female Equestrian Sport,silver
Andreas Dibowski,Male Equestrian Sport,gold
Andreas Helgstrand,Male Equestrian Sport,bronze
Clayton Fredericks,Male Equestrian Sport,silver
Eric Lamaze,Male Equestrian Sport,gold
Frank Ostholt,Male Equestrian Sport,gold
Hans Peter Minderhoud,Male Equestrian Sport,silver
Hinrich Romeike,Male Equestrian Sport,gold
Ian Millar,Male Equestrian Sport,silver
Mac Cone,Male Equestrian Sport,silver
McLain Ward,Male Equestrian Sport,gold
Niklaus Schurtenberger,Male Equestrian Sport,bronze
Peter Thomsen,Male Equestrian Sport,gold
Pius Schwizer,Male Equestrian Sport,bronze
Rolf-Göran Bengtsson,Male Equestrian Sport,silver
Shane Rose,Male Equestrian Sport,silver
Steve Guerdat,Male Equestrian Sport,bronze
Will Simpson,Male Equestrian Sport,gold
William Fox-Pitt,Male Equestrian Sport,bronze
Adam Wiercioch,Male Fencing,silver
Aldo Montano,Male Fencing,bronze
Alfredo Rota,Male Fencing,bronze
Benjamin Kleibrink,Male Fencing,gold
Boris Sanson,Male Fencing,gold
Diego Confalonieri,Male Fencing,bronze
Diego Occhiuzzi,Male Fencing,bronze
Fabrice Jeannet,Male Fencing,silver
Gianpiero Pastore,Male Fencing,bronze
James Leighman Williams,Male Fencing,silver
Jason Rogers,Male Fencing,silver
José Luis Abajo,Male Fencing,bronze
Julien Pillet,Male Fencing,gold
Jérôme Jeannet,Male Fencing,gold
Keeth Smart,Male Fencing,silver
Luigi Tarantino,Male Fencing,bronze
Matteo Tagliariol,Male Fencing,gold
Mihai Covaliu,Male Fencing,bronze
Nicolas Lopez,Male Fencing,silver
Radosław Zawrotniak,Male Fencing,silver
Robert Andrzejuk,Male Fencing,silver
Salvatore Sanzo,Male Fencing,bronze
Stefano Carozzo,Male Fencing,bronze
Tim Morehouse,Male Fencing,silver
Tomasz Motyka,Male Fencing,silver
Ulrich Robeiri,Male Fencing,gold
Yūki Ōta,Male Fencing,silver
