medalist_name,Event,Medalist
Paul Goodison,Male Sailing,gold
Robert Scheidt,Male Sailing,silver
Santiago Lange,Male Sailing,bronze
Shahar Tzuberi,Male Sailing,bronze
Tom Ashley,Male Sailing,gold
Vasilij Žbogar,Male Sailing,silver
Xabier Fernández,Male Sailing,silver
Zach Railey,Male Sailing,silver
Alessandra Sensini,Female Sailing,silver
Anna Tunnicliffe,Female Sailing,gold
Annemieke Bes,Female Sailing,silver
Bryony Shaw,Female Sailing,bronze
Elise Rechichi,Female Sailing,gold
Fernanda Oliveira,Female Sailing,bronze
Gintarė Scheidt,Female Sailing,silver
Isabel Swan,Female Sailing,bronze
Lobke Berkhout,Female Sailing,silver
Mandy Mulder,Female Sailing,silver
Marcelien de Koning,Female Sailing,silver
Merel Witteveen,Female Sailing,silver
Pippa Wilson,Female Sailing,gold
Sarah Ayton,Female Sailing,gold
Sarah Webb,Female Sailing,gold
Sofia Bekatorou,Female Sailing,bronze
Sofia Papadopoulou,Female Sailing,bronze
Tessa Parkinson,Female Sailing,gold
Virginia Kravarioti,Female Sailing,bronze
Xu Lijia,Female Sailing,bronze
Yin Jian,Female Sailing,gold
Abhinav,Male Shooting Sport,gold
Aleksei Alipov,Male Shooting Sport,bronze
Anthony Terras,Male Shooting Sport,bronze
Artur Ayvazyan,Male Shooting Sport,gold
Christian Reitz,Male Shooting Sport,bronze
David Kostelecký,Male Shooting Sport,gold
Francesco D'Aniello,Male Shooting Sport,silver
Giovanni Pellielo,Male Shooting Sport,silver
Henri Häkkinen,Male Shooting Sport,bronze
Hu Binyuan,Male Shooting Sport,bronze
Jason Turner,Male Shooting Sport,bronze
Jin Jong-oh,Male Shooting Sport,silver
Jury Sukhorukov,Male Shooting Sport,silver
Matthew Emmons,Male Shooting Sport,silver
Oleksandr Petriv,Male Shooting Sport,gold
Pang Wei,Male Shooting Sport,gold
Qiu Jian,Male Shooting Sport,gold
Rajmond Debevec,Male Shooting Sport,bronze
Ralf Schumann,Male Shooting Sport,silver
Tan Zongliang,Male Shooting Sport,silver
Tore Brovold,Male Shooting Sport,silver
Vincent Hancock,Male Shooting Sport,gold
Vladimir Isakov,Male Shooting Sport,bronze
Walton Eller,Male Shooting Sport,gold
Warren Potent,Male Shooting Sport,bronze
Zhu Qinan,Male Shooting Sport,silver
Chen Ying,Female Shooting Sport,gold
Chiara Cainero,Female Shooting Sport,gold
Christine Wenzel,Female Shooting Sport,bronze
Corey Cogdell,Female Shooting Sport,bronze
Du Li,Female Shooting Sport,gold
Eglis Yaima Cruz,Female Shooting Sport,bronze
Guo Wenjun,Female Shooting Sport,gold
Kateřina Emmons,Female Shooting Sport,gold
Kim Rhode,Female Shooting Sport,silver
Lioubov Galkina,Female Shooting Sport,silver
Munkhbayar Dorjsuren,Female Shooting Sport,bronze
Natalia Paderina,Female Shooting Sport,silver
Nino Salukvadze,Female Shooting Sport,bronze
Otryadyn Gündegmaa,Female Shooting Sport,silver
Satu Mäkelä-Nummela,Female Shooting Sport,gold
Snježana Pejčić,Female Shooting Sport,bronze
Zuzana Rehák-Štefečeková,Female Shooting Sport,silver
Andrea Duran,Female Softball,silver
Ayumi Karino,Female Softball,gold
Belinda Wright,Female Softball,bronze
Caitlin Lowe,Female Softball,silver
Cat Osterman,Female Softball,silver
Crystl Bustos,Female Softball,silver
Danielle Stewart,Female Softball,bronze
Emi Inui,Female Softball,gold
Eri Yamada,Female Softball,gold
Hiroko Sakai,Female Softball,gold
Jennie Finch,Female Softball,silver
Jessica Mendoza,Female Softball,silver
Jodie Bowering,Female Softball,bronze
Justine Smethurst,Female Softball,bronze
Kelly Hardie,Female Softball,bronze
Kelly Kretschman,Female Softball,silver
Kerry Wyborn,Female Softball,bronze
Kylie Cronk,Female Softball,bronze
Laura Berg,Female Softball,silver
Lauren Lappin,Female Softball,silver
Lovieanne Jung,Female Softball,silver
Masumi Mishina,Female Softball,gold
Megu Hirose,Female Softball,gold
Melanie Roche,Female Softball,bronze
Mika Someya,Female Softball,gold
Monica Abbott,Female Softball,silver
Motoko Fujimoto,Female Softball,gold
Naho Emoto,Female Softball,gold
Natalie Titcume,Female Softball,bronze
Natalie Ward,Female Softball,bronze
Natasha Watley,Female Softball,silver
Rei Nishiyama,Female Softball,gold
Rie Sato,Female Softball,gold
Sachiko Ito,Female Softball,gold
Sandy Lewis,Female Softball,bronze
Satoko Mabuchi,Female Softball,gold
Simmone Morrow,Female Softball,bronze
Stacey Nuveman,Female Softball,silver
Stacey Porter,Female Softball,bronze
Tairia Flowers,Female Softball,silver
Tanya Harding,Female Softball,bronze
Tracey Mosley,Female Softball,bronze
Vicky Galindo,Female Softball,silver
Yukiko Ueno,Female Softball,gold
Yukiyo Mine,Female Softball,gold
Aaron Peirsol,Male Swimming,gold
Adam Pine,Male Swimming,silver
Alain Bernard,Male Swimming,bronze
Alexander Dale Oen,Male Swimming,silver
Alexander Sukhorukov,Male Swimming,silver
Amaury Leveaux,Male Swimming,silver
Andrew Lauterstein,Male Swimming,bronze
Arkady Vyatchanin,Male Swimming,bronze
Ashley Callus,Male Swimming,bronze
Ashley Delaney,Male Swimming,silver
Ben Wildman-Tobriner,Male Swimming,gold
Boris Steimetz,Male Swimming,silver
Brendan Hansen,Male Swimming,gold
Brenton Rickard,Male Swimming,silver
Christian Sprenger,Male Swimming,silver
Cullen Jones,Male Swimming,gold
César Cielo,Male Swimming,gold
Danila Izotov,Male Swimming,silver
David Davies,Male Swimming,silver
David Walters,Male Swimming,gold
Eamon Sullivan,Male Swimming,silver
Erik Vendt,Male Swimming,gold
Fabien Gilot,Male Swimming,silver
Frédérick Bousquet,Male Swimming,silver
Garrett Weber-Gale,Male Swimming,gold
Grant Brits,Male Swimming,bronze
Grant Hackett,Male Swimming,silver
Grégory Mallet,Male Swimming,silver
Hayden Stoeckel,Male Swimming,bronze
Hisayoshi Sato,Male Swimming,bronze
Hugues Duboscq,Male Swimming,bronze
Ian Crocker,Male Swimming,gold
Jason Lezak,Male Swimming,bronze
Junichi Miyashita,Male Swimming,bronze
Kirk Palmer,Male Swimming,bronze
Klete Keller,Male Swimming,gold
Kosuke Kitajima,Male Swimming,gold
Larsen Jensen,Male Swimming,bronze
Leith Brodie,Male Swimming,bronze
László Cseh,Male Swimming,silver
Maarten van der Weijden,Male Swimming,gold
Mark Gangloff,Male Swimming,gold
Matt Grevers,Male Swimming,silver
Matt Targett,Male Swimming,bronze
Michael Phelps,Male Swimming,gold
Mikhail Polishchuk,Male Swimming,silver
Milorad Čavić,Male Swimming,silver
Nathan Adrian,Male Swimming,gold
Nick Ffrost,Male Swimming,bronze
Nikita Lobintsev,Male Swimming,silver
Oussama Mellouli,Male Swimming,gold
Park Tae-Hwan,Male Swimming,silver
Patrick Murphy,Male Swimming,bronze
Peter Vanderkaay,Male Swimming,bronze
Ricky Berens,Male Swimming,gold
Ryan Cochrane,Male Swimming,bronze
Ryan Lochte,Male Swimming,gold
Takeshi Matsuda,Male Swimming,bronze
Takuro Fujii,Male Swimming,bronze
Thomas Lurz,Male Swimming,bronze
Yevgeny Lagunov,Male Swimming,silver
Zhang Lin,Male Swimming,silver
Alessia Filippi,Female Swimming,silver
Alice Tait,Female Swimming,bronze
Allison Schmitt,Female Swimming,bronze
Angie Bainbridge,Female Swimming,gold
Britta Steffen,Female Swimming,gold
Bronte Barratt,Female Swimming,gold
Caroline Burckle,Female Swimming,bronze
Cassie Patten,Female Swimming,bronze
Cate Campbell,Female Swimming,bronze
Christine Magnuson,Female Swimming,silver
Christine Marshall,Female Swimming,bronze
Dara Torres,Female Swimming,silver
Elaine Breeden,Female Swimming,silver
Emily Seebohm,Female Swimming,gold
Emily Silver,Female Swimming,silver
Federica Pellegrini,Female Swimming,gold
Felicity Galvez,Female Swimming,gold
Femke Heemskerk,Female Swimming,gold
Hinkelien Schreuder,Female Swimming,gold
Inge Dekker,Female Swimming,gold
Jessicah Schipper,Female Swimming,bronze
Jiao Liuyang,Female Swimming,silver
Joanne Jackson,Female Swimming,bronze
Julia Smit,Female Swimming,silver
Kara Lynn Joyce,Female Swimming,silver
Katie Hoff,Female Swimming,silver
Keri-Anne Payne,Female Swimming,silver
Kim Vandenberg,Female Swimming,bronze
Kirsty Coventry,Female Swimming,silver
Kylie Palmer,Female Swimming,gold
Lacey Nymeyer,Female Swimming,silver
Lara Davenport,Female Swimming,gold
Larisa Ilchenko,Female Swimming,gold
Leisel Jones,Female Swimming,gold
Libby Trickett,Female Swimming,silver
Linda Mackenzie,Female Swimming,gold
Liu Zige,Female Swimming,gold
Lotte Friis,Female Swimming,bronze
Manon van Rooijen,Female Swimming,gold
Margaret Hoelzer,Female Swimming,bronze
Marleen Veldhuis,Female Swimming,gold
Megan Jendrick,Female Swimming,silver
Melanie Schlanger,Female Swimming,bronze
Mirna Jukić,Female Swimming,bronze
Natalie Coughlin,Female Swimming,bronze
Pang Jiaying,Female Swimming,bronze
Ranomi Kromowidjojo,Female Swimming,gold
Rebecca Adlington,Female Swimming,gold
Rebecca Soni,Female Swimming,silver
Reiko Nakamura,Female Swimming,bronze
Sara Isaković,Female Swimming,silver
Sara Nordenstam,Female Swimming,bronze
Shayne Reese,Female Swimming,bronze
Stephanie Rice,Female Swimming,gold
Sun Ye,Female Swimming,bronze
Tan Miao,Female Swimming,silver
Tang Jingzhi,Female Swimming,silver
Tarnee White,Female Swimming,gold
Xu Tianlongzi,Female Swimming,bronze
Yang Yu,Female Swimming,silver
Zhao Jing,Female Swimming,bronze
Zhou Yafei,Female Swimming,bronze
Zhu Qianwei,Female Swimming,silver
Alba Cabello,Female Synchronized Swimming,silver
Anastasia Davydova,Female Synchronized Swimming,gold
Anastasiya Yermakova,Female Synchronized Swimming,gold
Andrea Fuentes,Female Synchronized Swimming,silver
Anna Shorina,Female Synchronized Swimming,gold
Elvira Khasyanova,Female Synchronized Swimming,gold
Emiko Suzuki,Female Synchronized Swimming,bronze
Gemma Mengual,Female Synchronized Swimming,silver
Gisela Morón,Female Synchronized Swimming,silver
Gu Beibei,Female Synchronized Swimming,bronze
Huang Xuechen,Female Synchronized Swimming,bronze
Irina Rodríguez,Female Synchronized Swimming,silver
Jiang Tingting,Female Synchronized Swimming,bronze
Jiang Wenwen,Female Synchronized Swimming,bronze
Laura López,Female Synchronized Swimming,silver
Liu Ou,Female Synchronized Swimming,bronze
Luo Xi,Female Synchronized Swimming,bronze
Mariya Gromova,Female Synchronized Swimming,gold
Natalia Ishchenko,Female Synchronized Swimming,gold
Olga Kuzhela,Female Synchronized Swimming,gold
Paola Tirados,Female Synchronized Swimming,silver
Raquel Corral,Female Synchronized Swimming,silver
Saho Harada,Female Synchronized Swimming,bronze
Sun Qiuting,Female Synchronized Swimming,bronze
Svetlana Romashina,Female Synchronized Swimming,gold
Thaïs Henríquez,Female Synchronized Swimming,silver
Wang Na,Female Synchronized Swimming,bronze
Yelena Ovchinnikova,Female Synchronized Swimming,gold
Zhang Xiaohuan,Female Synchronized Swimming,bronze
Christian Süß,Male Table Tennis,silver
Dimitrij Ovtcharov,Male Table Tennis,silver
Ma Lin,Male Table Tennis,gold
Oh Sang-eun,Male Table Tennis,bronze
Ryu Seung-min,Male Table Tennis,bronze
Timo Boll,Male Table Tennis,silver
Wang Hao,Male Table Tennis,silver
Wang Liqin,Male Table Tennis,bronze
Yoon Jae-Young,Male Table Tennis,bronze
Dang Ye-seo,Female Table Tennis,bronze
Feng Tianwei,Female Table Tennis,silver
Guo Yue,Female Table Tennis,bronze
Kim Kyungah,Female Table Tennis,bronze
Li Jiawei,Female Table Tennis,silver
Park Mi-Young,Female Table Tennis,bronze
Wang Nan,Female Table Tennis,silver
Wang Yuegu,Female Table Tennis,silver
Zhang Yining,Female Table Tennis,gold
Alexandros Nikolaidis,Male Taekwondo,silver
Arman Chilmanov,Male Taekwondo,bronze
Cha Dong-Min,Male Taekwondo,gold
Chika Chukwumerije,Male Taekwondo,bronze
Chu Mu-yen,Male Taekwondo,bronze
Gabriel Mercedes,Male Taekwondo,silver
Guillermo Pérez,Male Taekwondo,gold
Hadi Saei,Male Taekwondo,gold
Mark López,Male Taekwondo,silver
Mauro Sarmiento,Male Taekwondo,silver
Rohullah Nikpai,Male Taekwondo,bronze
Servet Tazegül,Male Taekwondo,bronze
Son Tae-jin,Male Taekwondo,gold
Steven López,Male Taekwondo,bronze
Sung Yu-chi,Male Taekwondo,bronze
Zhu Guo,Male Taekwondo,bronze
Azize Tanrıkulu,Female Taekwondo,silver
Buttree Puedpong,Female Taekwondo,silver
Dalia Contreras,Female Taekwondo,bronze
Daynellis Montejo,Female Taekwondo,bronze
Diana López,Female Taekwondo,bronze
Gwladys Épangue,Female Taekwondo,bronze
Hwang Kyung-Seon,Female Taekwondo,gold
Karine Sergerie,Female Taekwondo,silver
Lim Su-jeong,Female Taekwondo,gold
Martina Zubčić,Female Taekwondo,bronze
María Espinoza,Female Taekwondo,gold
Natália Falavigna,Female Taekwondo,bronze
Nina Solheim,Female Taekwondo,silver
Sandra Šarić,Female Taekwondo,bronze
Sarah Stevenson,Female Taekwondo,bronze
Wu Jingyu,Female Taekwondo,gold
Bob Bryan,Male Tennis,bronze
Fernando González,Male Tennis,silver
Mike Bryan,Male Tennis,bronze
Novak Djokovic,Male Tennis,bronze
Rafael Nadal,Male Tennis,gold
Roger Federer,Male Tennis,gold
Simon Aspelin,Male Tennis,silver
Stan Wawrinka,Male Tennis,gold
Thomas Johansson,Male Tennis,silver
Anabel Medina Garrigues,Female Tennis,silver
Dinara Safina,Female Tennis,silver
Elena Dementieva,Female Tennis,gold
Serena Williams,Female Tennis,gold
Venus Williams,Female Tennis,gold
Vera Zvonareva,Female Tennis,bronze
Virginia Ruano Pascual,Female Tennis,silver
Yan Zi,Female Tennis,bronze
Zheng Jie,Female Tennis,bronze
Bevan Docherty,Male Triathlon,bronze
Jan Frodeno,Male Triathlon,gold
Simon Whitfield,Male Triathlon,silver
Emma Moffatt,Female Triathlon,bronze
Emma Snowsill,Female Triathlon,gold
Vanessa Fernandes,Female Triathlon,silver
Emanuel Rego,Male Beach Volleyball,bronze
Fábio Luiz Magalhães,Male Beach Volleyball,silver
Márcio Araújo,Male Beach Volleyball,silver
Phil Dalhausser,Male Beach Volleyball,gold
Ricardo Santos,Male Beach Volleyball,bronze
Todd Rogers,Male Beach Volleyball,gold
Kerri Walsh Jennings,Female Beach Volleyball,gold
Misty May-Treanor,Female Beach Volleyball,gold
Tian Jia,Female Beach Volleyball,silver
Wang Jie,Female Beach Volleyball,silver
Xue Chen,Female Beach Volleyball,bronze
Zhang Xi,Female Beach Volleyball,bronze
Aleksandr Korneev,Male Volleyball,bronze
Aleksandr Kosarev,Male Volleyball,bronze
Aleksandr Volkov,Male Volleyball,bronze
Aleksey Kuleshov,Male Volleyball,bronze
Aleksey Ostapenko,Male Volleyball,bronze
Aleksey Verbov,Male Volleyball,bronze
Anderson Rodrigues,Male Volleyball,silver
André Heller,Male Volleyball,silver
André Nascimento,Male Volleyball,silver
Bruno Rezende,Male Volleyball,silver
Clayton Stanley,Male Volleyball,gold
Dante Amaral,Male Volleyball,silver
David Lee,Male Volleyball,gold
Gabriel Gardner,Male Volleyball,gold
Giba,Male Volleyball,silver
Gustavo Endres,Male Volleyball,silver
Kevin Hansen,Male Volleyball,gold
Lloy Ball,Male Volleyball,gold
Marcelo Elgarten,Male Volleyball,silver
Maxim Mikhaylov,Male Volleyball,bronze
Murilo Endres,Male Volleyball,silver
Reid Priddy,Male Volleyball,gold
Richard Lambourne,Male Volleyball,gold
Riley Salmon,Male Volleyball,gold
Rodrigão,Male Volleyball,silver
Ryan Millar,Male Volleyball,gold
Samuel Fuchs,Male Volleyball,silver
Scott Touzinsky,Male Volleyball,gold
Sean Rooney,Male Volleyball,gold
Semyon Poltavskiy,Male Volleyball,bronze
Sergey Grankin,Male Volleyball,bronze
Sergey Tetyukhin,Male Volleyball,bronze
Sérgio Santos,Male Volleyball,silver
Thomas Hoff,Male Volleyball,gold
Vadim Khamuttskikh,Male Volleyball,bronze
Yury Berezhko,Male Volleyball,bronze
Carolina Albuquerque,Female Volleyball,gold
Danielle Scott-Arruda,Female Volleyball,silver
Fabiana Claudino,Female Volleyball,gold
Fabiana de Oliveira,Female Volleyball,gold
Feng Kun,Female Volleyball,bronze
Fofão,Female Volleyball,gold
Heather Bown,Female Volleyball,silver
Jaqueline Carvalho,Female Volleyball,gold
Jennifer Joines,Female Volleyball,silver
Kim Glass,Female Volleyball,silver
Kim Willoughby,Female Volleyball,silver
Li Juan,Female Volleyball,bronze
Lindsey Berg,Female Volleyball,silver
Liu Yanan,Female Volleyball,bronze
Logan Tom,Female Volleyball,silver
Ma Yunwen,Female Volleyball,bronze
Marianne Steinbrecher,Female Volleyball,gold
Nicole Davis,Female Volleyball,silver
Ogonna Nnamani,Female Volleyball,silver
Paula Pequeno,Female Volleyball,gold
Robyn Ah Mow-Santos,Female Volleyball,silver
Sheilla Castro,Female Volleyball,gold
Stacy Sykora,Female Volleyball,silver
Tayyiba Haneef-Park,Female Volleyball,silver
Thaísa Menezes,Female Volleyball,gold
Valeska Menezes,Female Volleyball,gold
Walewska Oliveira,Female Volleyball,gold
Wang Yimei,Female Volleyball,bronze
Wei Qiuyue,Female Volleyball,bronze
Welissa Gonzaga,Female Volleyball,gold
Xu Yunli,Female Volleyball,bronze
Xue Ming,Female Volleyball,bronze
Yang Hao,Female Volleyball,bronze
Zhang Na,Female Volleyball,bronze
Zhao Ruirui,Female Volleyball,bronze
Zhou Suhong,Female Volleyball,bronze
Adam Wright,Male Water Polo,silver
Aleksandar Ćirić,Male Water Polo,bronze
Aleksandar Šapić,Male Water Polo,bronze
Andrija Prlainović,Male Water Polo,bronze
Brandon Brooks,Male Water Polo,silver
Branko Peković,Male Water Polo,bronze
Dejan Savić,Male Water Polo,bronze
Denis Šefik,Male Water Polo,bronze
Duško Pijetlović,Male Water Polo,bronze
Dániel Varga,Male Water Polo,gold
Dénes Varga,Male Water Polo,gold
Filip Filipović,Male Water Polo,bronze
Gergely Kiss,Male Water Polo,gold
Gábor Kis,Male Water Polo,gold
István Gergely,Male Water Polo,gold
J. W. Krumpholz,Male Water Polo,silver
Jeff Powers,Male Water Polo,silver
Jesse Smith,Male Water Polo,silver
Layne Beaubien,Male Water Polo,silver
Merrill Moses,Male Water Polo,silver
Nikola Rađen,Male Water Polo,bronze
Norbert Hosnyánszky,Male Water Polo,gold
Norbert Madaras,Male Water Polo,gold
Peter Hudnut,Male Water Polo,silver
Peter Varellas,Male Water Polo,silver
Péter Biros,Male Water Polo,gold
Rick Merlo,Male Water Polo,silver
Ryan Bailey,Male Water Polo,silver
Slobodan Soro,Male Water Polo,bronze
Tamás Kásás,Male Water Polo,gold
Tamás Molnár,Male Water Polo,gold
Tamás Varga,Male Water Polo,gold
Tibor Benedek,Male Water Polo,gold
Tim Hutten,Male Water Polo,silver
Tony Azevedo,Male Water Polo,silver
Vanja Udovičić,Male Water Polo,bronze
Vladimir Vujasinović,Male Water Polo,bronze
Zoltán Szécsi,Male Water Polo,gold
Živko Gocić,Male Water Polo,bronze
Alette Sijbring,Female Water Polo,gold
Alicia McCormack,Female Water Polo,bronze
Alison Gregorka,Female Water Polo,silver
Amy Hetzel,Female Water Polo,bronze
Biurakn Hakhverdian,Female Water Polo,gold
Brenda Villa,Female Water Polo,silver
Brittany Hayes,Female Water Polo,silver
Bronwen Knox,Female Water Polo,bronze
Daniëlle de Bruijn,Female Water Polo,gold
Elizabeth Armstrong,Female Water Polo,silver
Elsie Windes,Female Water Polo,silver
Emma Knox,Female Water Polo,bronze
Gemma Beadsworth,Female Water Polo,bronze
Gillian van den Berg,Female Water Polo,gold
Heather Petri,Female Water Polo,silver
Iefke van Belkum,Female Water Polo,gold
Ilse van der Meijden,Female Water Polo,gold
Jaime Komer,Female Water Polo,silver
Jenna Santoromito,Female Water Polo,bronze
Jessica Steffens,Female Water Polo,silver
Kami Craig,Female Water Polo,silver
Kate Gynther,Female Water Polo,bronze
Lauren Wenger,Female Water Polo,silver
Marieke van den Ham,Female Water Polo,gold
Meike de Nooy,Female Water Polo,gold
Melissa Rippon,Female Water Polo,bronze
Mia Santoromito,Female Water Polo,bronze
Mieke Cabout,Female Water Polo,gold
Moriah van Norman,Female Water Polo,silver
Natalie Golda,Female Water Polo,silver
Nikita Cuffe,Female Water Polo,bronze
Noeki Klein,Female Water Polo,gold
Patty Cardenas,Female Water Polo,silver
Rebecca Rippon,Female Water Polo,bronze
Rianne Guichelaar,Female Water Polo,gold
Simone Koot,Female Water Polo,gold
Suzie Fraser,Female Water Polo,bronze
Taniele Gofers,Female Water Polo,bronze
Yasemin Smit,Female Water Polo,gold
Andrei Aramnau,Male Weightlifting,gold
Arsen Kasabiev,Male Weightlifting,silver
Diego Salazar,Male Weightlifting,silver
Dmitry Klokov,Male Weightlifting,silver
Eko Irawan,Male Weightlifting,bronze
Evgeny Chigishev,Male Weightlifting,silver
Gevorg Davtyan,Male Weightlifting,bronze
Hoang Anh Tuan,Male Weightlifting,silver
Jadier Valladares,Male Weightlifting,bronze
Li Hongli,Male Weightlifting,silver
Liao Hui,Male Weightlifting,gold
Long Qingquan,Male Weightlifting,gold
Lu Yong,Male Weightlifting,gold
Marcin Dołęga,Male Weightlifting,bronze
Matthias Steiner,Male Weightlifting,gold
Sa Jae-Hyouk,Male Weightlifting,gold
Szymon Kołecki,Male Weightlifting,gold
Tigran Vardan Martirosyan,Male Weightlifting,silver
Triyatno,Male Weightlifting,bronze
Vencelas Dabaya,Male Weightlifting,silver
Viktors Ščerbatihs,Male Weightlifting,bronze
Yoandry Hernández,Male Weightlifting,bronze
Yordanis Borrero,Male Weightlifting,bronze
Zhang Xiangxiang,Male Weightlifting,gold
Abeer Abdelrahman,Female Weightlifting,bronze
Alla Vazhenina,Female Weightlifting,gold
Chen Wei-ling,Female Weightlifting,gold
Chen Yanqing,Female Weightlifting,gold
Christine Girard,Female Weightlifting,bronze
Damaris Gabriela Aguirre Aldaz,Female Weightlifting,bronze
Ele Opeloge,Female Weightlifting,silver
Im Jyoung-Hwa,Female Weightlifting,silver
Jang Mi-ran,Female Weightlifting,gold
Leydi Solís,Female Weightlifting,silver
Lu Ying-chi,Female Weightlifting,silver
Lydia Valentín,Female Weightlifting,silver
Mariam Usman,Female Weightlifting,bronze
O Jong-ae,Female Weightlifting,silver
Oksana Slivenko,Female Weightlifting,gold
Pak Hyon-suk,Female Weightlifting,gold
Pensiri Laosirikul,Female Weightlifting,bronze
Prapawadee Jaroenrattanatarakoon,Female Weightlifting,gold
Raema Lisa Rumbewas,Female Weightlifting,bronze
Wandee Kameaim,Female Weightlifting,bronze
Yoon Jin-Hee,Female Weightlifting,silver
Andriy Stadnik,Male Freestyle Wrestling,silver
Bakhtiyar Akhmedov,Male Freestyle Wrestling,gold
Bazar Bazarguruev,Male Freestyle Wrestling,bronze
Besik Kudukhov,Male Freestyle Wrestling,bronze
Buvaisar Saitiev,Male Freestyle Wrestling,gold
David Musuľbes,Male Freestyle Wrestling,silver
Disney Rodríguez,Male Freestyle Wrestling,bronze
Georgy Ketoyev,Male Freestyle Wrestling,bronze
Gheorghiță Ștefan,Male Freestyle Wrestling,bronze
Giorgi Gogshelidze,Male Freestyle Wrestling,silver
Henry Cejudo,Male Freestyle Wrestling,gold
Kenichi Yumoto,Male Freestyle Wrestling,silver
Khetag Gazyumov,Male Freestyle Wrestling,bronze
Kiril Terziev,Male Freestyle Wrestling,bronze
Marid Mutalimov,Male Freestyle Wrestling,bronze
Mavlet Batirov,Male Freestyle Wrestling,gold
Michel Batista Martínez,Male Freestyle Wrestling,bronze
Morad Mohammadi,Male Freestyle Wrestling,bronze
Murad Gaidarov,Male Freestyle Wrestling,silver
Otar Tushishvili,Male Freestyle Wrestling,bronze
Radoslav Velikov,Male Freestyle Wrestling,bronze
Ramazan Şahin,Male Freestyle Wrestling,gold
Revaz Mindorashvili,Male Freestyle Wrestling,gold
Shirvani Muradov,Male Freestyle Wrestling,gold
Sushil Kumar,Male Freestyle Wrestling,bronze
Taras Danko,Male Freestyle Wrestling,bronze
Tomohiro Matsunaga,Male Freestyle Wrestling,silver
Yusup Abdusalomov,Male Freestyle Wrestling,silver
Agnieszka Wieszczek-Kordus,Female Freestyle Wrestling,bronze
Alena Kartashova,Female Freestyle Wrestling,silver
Carol Huynh,Female Freestyle Wrestling,gold
Chiharu Icho,Female Freestyle Wrestling,silver
Iryna Merleni,Female Freestyle Wrestling,bronze
Jackeline Rentería,Female Freestyle Wrestling,bronze
Kaori Icho,Female Freestyle Wrestling,gold
Kyoko Hamaguchi,Female Freestyle Wrestling,bronze
Mariya Stadnik,Female Freestyle Wrestling,bronze
Randi Miller,Female Freestyle Wrestling,bronze
Saori Yoshida,Female Freestyle Wrestling,gold
Stanka Zlateva,Female Freestyle Wrestling,silver
Tonya Verbeek,Female Freestyle Wrestling,bronze
Wang Jiao,Female Freestyle Wrestling,gold
Xu Li,Female Freestyle Wrestling,silver
Yelena Shalygina,Female Freestyle Wrestling,bronze
Adam Wheeler,Male Greco-Roman Wrestling,bronze
Andrea Minguzzi,Male Greco-Roman Wrestling,gold
Armen Vardanyan,Male Greco-Roman Wrestling,bronze
Aslanbek Khushtov,Male Greco-Roman Wrestling,gold
Chang Yongxiang,Male Greco-Roman Wrestling,silver
Christophe Guénot,Male Greco-Roman Wrestling,bronze
Islambek Albiev,Male Greco-Roman Wrestling,gold
Kanatbek Begaliev,Male Greco-Roman Wrestling,silver
Manuchar Kvirkvelia,Male Greco-Roman Wrestling,gold
Marek Švec,Male Greco-Roman Wrestling,bronze
Mijaín López,Male Greco-Roman Wrestling,gold
Mikhail Siamionau,Male Greco-Roman Wrestling,bronze
Mindaugas Mizgaitis,Male Greco-Roman Wrestling,silver
Mirko Englich,Male Greco-Roman Wrestling,silver
Nazmi Avluca,Male Greco-Roman Wrestling,bronze
Nazyr Mankiev,Male Greco-Roman Wrestling,gold
Nurbakyt Tengizbayev,Male Greco-Roman Wrestling,silver
Park Eun-Chul,Male Greco-Roman Wrestling,bronze
Roman Amoyan,Male Greco-Roman Wrestling,bronze
Rovshan Bayramov,Male Greco-Roman Wrestling,silver
Ruslan Tumenbaev,Male Greco-Roman Wrestling,bronze
Sheng Jiang,Male Greco-Roman Wrestling,bronze
Steeve Guénot,Male Greco-Roman Wrestling,gold
Yannick Szczepaniak,Male Greco-Roman Wrestling,bronze
Yavor Yanakiev,Male Greco-Roman Wrestling,bronze
Yury Patrikeyev,Male Greco-Roman Wrestling,bronze
Zoltán Fodor,Male Greco-Roman Wrestling,silver
